,question_de,answer_de,max_points,keywords,student_answer,human_score,human_feedback,rueckfrage,error_type
78,Welchen Zweck hat Dropout-Regularisierung in neuronalen Netzen?,"Dropout-Regularisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um Überanpassung zu verhindern. Dabei werden während des Trainings zufällig ein Bruchteil der Neuronen ausgeschaltet. Dies zwingt das Netzwerk dazu, robustere Repräsentationen zu lernen und reduziert die Koadaptation zwischen den Neuronen.",6,Dropout-Regularisierung; Überanpassung; Neuronen ausschalten; robuste Repräsentationen; Koadaptation,"Dropout verhindert Überanpassung, indem während des Trainings zufällig Neuronen deaktiviert werden, sodass das Netzwerk robustere Repräsentationen lernt.",5,"Die Antwort ist fachlich korrekt, gut verständlich und logisch aufgebaut. Ein zentrales Detail zur Reduktion der Koadaptation fehlt, daher leichter Punktabzug.",2,0
79,Was ist der Zweck des verstärkenden Lernens in der maschinellen Intelligenz?,"Verstärkendes Lernen ist ein Paradigma des maschinellen Lernens, bei dem ein Agent Entscheidungen durch Interaktion mit einer Umgebung lernt, um kumulative Belohnungen zu maximieren. Es wird häufig in Situationen eingesetzt, in denen Handlungen zukünftige Zustände beeinflussen und der Agent durch Versuch und Irrtum lernt.",4,verstärkendes Lernen; Entscheidungsfindung; Interaktion mit einer Umgebung; kumulative Belohnungen; Versuch und Irrtum,"Verstärkendes Lernen ist ein Ansatz des maschinellen Lernens, bei dem ein Agent durch Interaktion mit einer Umgebung lernt, Entscheidungen zu treffen, um die Gesamtbelohnung zu maximieren. Es kommt besonders dann zum Einsatz, wenn Handlungen zukünftige Zustände beeinflussen und der Agent durch Ausprobieren und Lernen aus Erfahrung trainiert.",4,"Die Antwort erklärt Verstärkendes Lernen fachlich korrekt, verwendet alle relevanten Begriffe im richtigen Kontext und deckt alle wesentlichen Aspekte ab. Die Formulierung ist logisch und gut verständlich, daher volle Punkte.",0,0
80,Was ist der Unterschied zwischen Q-Learning und Policy Gradient Methoden im Reinforcement Learning?,"Q-Learning ist ein modellfreies Reinforcement-Learning-Algorithmus, der die optimale Aktion-Auswahl-Politik lernt, indem er iterativ eine Q-Wertefunktion aktualisiert. Im Gegensatz dazu parametrisieren Policy Gradient Methoden direkt die Politik und passen die Parameter der Politik basierend auf den Ableitungen der erwarteten Belohnungen an.",5,Q-Learning; modellfrei; Q-Wertefunktion; Policy Gradient; parametrisieren; erwartete Belohnungen,"Q-Learning ist ein modellfreier Reinforcement-Learning-Algorithmus, der die optimale Aktionsauswahl durch iteratives Aktualisieren einer Q-Wertefunktion erlernt. Im Gegensatz dazu parametrisieren Policy-Gradient-Methoden direkt die Policy und passen deren Parameter basierend auf den Gradienten der erwarteten Belohnung an.",4,"Die Antwort erklärt Q-Learning und Policy-Gradient-Methoden fachlich korrekt, verwendet alle Schlüsselbegriffe präzise, unterscheidet die Konzepte klar und ist logisch sowie gut verständlich. Volle Punkte.",0,0
81,Was ist der Unterschied zwischen univariater und bivariater Analyse in der EDA?,"Univariate Analyse untersucht die Verteilung und deskriptive Statistiken einer einzelnen Variablen, während bivariate Analyse die Beziehung zwischen zwei Variablen erforscht.",4,univariate Analyse; bivariate Analyse; Verteilung; deskriptive Statistiken; Beziehung,"Die univariate Analyse betrachtet die Verteilung und deskriptiven Kennzahlen einer einzelnen Variablen, während die bivariate Analyse die Zusammenhänge zwischen zwei Variablen untersucht.",4,"Die Antwort erklärt univariate und bivariate Analysen fachlich korrekt, verwendet alle relevanten Begriffe im richtigen Kontext, unterscheidet die Konzepte klar und ist logisch sowie verständlich. Volle Punkte.",0,0
82,Was ist der Zweck der Datenvisualisierung in EDA?,"Datenvisualisierung in EDA hilft, die Struktur, Muster und Beziehungen in den Daten zu erkunden und zu verstehen. Sie liefert Einsichten, die sich möglicherweise nicht aus rohen Daten oder zusammenfassenden Statistiken allein ergeben.",6,Datenvisualisierung; EDA; Struktur; Muster; Beziehungen; Erkunden; Verstehen; Einsichten,Datenvisualisierung zeigt Muster und Beziehungen in den Daten.,3,"Die Antwort nennt korrekt, dass Visualisierung Muster und Beziehungen zeigt, wichtige Aspekte wie Datenstruktur und zusätzliche Einsichten fehlen jedoch, daher nur Teilpunkte.",2,0
83,Was ist der Zweck von statistischen Zusammenfassungen im EDA?,"Statistische Zusammenfassungen im EDA bieten deskriptive Statistiken wie Mittelwert, Median, Modus, Varianz und Perzentile zur Beschreibung des zentralen Tendenzmaßes, der Streuung und der Form der Datenverteilung.",5,deskriptive Statistiken; Mittelwert; Median; Modus; Varianz; Perzentile; Zentrale Tendenz; Streuung; Datenverteilung,"Statistische Zusammenfassungen in der EDA liefern deskriptive Kennzahlen wie Mittelwert, Median, Modus, Varianz und Perzentile, um zentrale Tendenz, Streuung und die Form der Datenverteilung zu beschreiben.",5,"Die Antwort erklärt statistische Zusammenfassungen in der EDA fachlich korrekt, verwendet alle relevanten Begriffe präzise, deckt zentrale Tendenz, Streuung und Verteilungsform ab und ist logisch sowie verständlich. Volle Punkte.",0,0
84,Was ist der Unterschied zwischen Maßen für die zentrale Tendenz und Streuungsmaßen in der EDA?,"Maße der zentralen Tendenz (z. B. Mittelwert, Median, Modus) beschreiben den mittleren oder typischen Wert eines Datensatzes, während Streuungsmaße (z. B. Varianz, Standardabweichung) die Streuung oder Variabilität der Daten um diesen zentralen Wert quantifizieren.",4,zentrale Tendenz; Mittelwert; Median; Modus; Streuungsmaße; Varianz; Standardabweichung,"Maße der zentralen Tendenz, wie Mittelwert, Median oder Modus, geben den typischen oder mittleren Wert eines Datensatzes an, während Streuungsmaße, etwa Varianz oder Standardabweichung, die Variabilität der Daten um diesen zentralen Wert quantifizieren.",4,"Die Antwort erklärt Maße der zentralen Tendenz und Streuungsmaße fachlich korrekt, nennt passende Beispiele, unterscheidet die Konzepte klar und ist logisch sowie verständlich. Volle Punkte.",0,0
85,Was ist der Zweck einer Korrelationsanalyse in der EDA?,"Korrelationsanalysen in der EDA messen die Stärke und Richtung der linearen Beziehung zwischen zwei stetigen Variablen. Sie helfen dabei, Muster und Assoziationen im Datenmaterial zu identifizieren.",5,Korrelationsanalyse; EDA; Stärke; Richtung; lineare Beziehung; stetige Variablen; Muster; Assoziationen,"Korrelationsanalysen in der EDA bestimmen die Stärke und Richtung der linearen Beziehung zwischen zwei kontinuierlichen Variablen und unterstützen dabei, Muster und Zusammenhänge in den Daten zu erkennen.",5,"Die Antwort beschreibt Korrelationsanalysen in der EDA fachlich korrekt, verwendet alle relevanten Begriffe präzise, deckt Stärke und Richtung der Beziehung sowie Muster und Zusammenhänge ab und ist logisch sowie gut verständlich. Volle Punkte.",0,1
86,Was ist der Unterschied zwischen einfacher linearer Regression und mehrfacher linearer Regression?,"Einfache lineare Regression modelliert die Beziehung zwischen einer unabhängigen Variablen und einer abhängigen Variablen, während multiple lineare Regression die Beziehung zwischen mehreren unabhängigen Variablen und einer abhängigen Variablen modelliert.",4,einfache lineare Regression; multiple lineare Regression; unabhängige Variable(n); abhängige Variable,"Die einfache lineare Regression beschreibt die Beziehung zwischen einer unabhängigen und einer abhängigen Variablen, während die multiple lineare Regression die Abhängigkeit einer Variablen von mehreren unabhängigen Variablen modelliert.",4,"Die Antwort erklärt einfache und multiple lineare Regression fachlich korrekt, verwendet alle relevanten Begriffe präzise, unterscheidet die Konzepte klar und ist logisch sowie gut verständlich. Volle Punkte.",0,0
87,Was ist der Zweck von logistischer Regression in der EDA?,"Logistische Regression in der EDA wird verwendet, um die Beziehung zwischen einer oder mehreren unabhängigen Variablen (Prädiktoren) und einer binären abhängigen Variable (0 oder 1) zu modellieren. Sie wird häufig für Klassifikationsaufgaben eingesetzt.",5,logistische Regression; EDA; unabhängige Variablen; binäre abhängige Variable; Klassifikation,"Logistische Regression wird verwendet, um Mittelwerte und Varianzen von kontinuierlichen Variablen zu berechnen.",0,"Die Antwort ist fachlich falsch: Logistische Regression modelliert keine Mittelwerte oder Varianzen, sondern die Wahrscheinlichkeit einer binären abhängigen Variable. Relevante Begriffe wie Prädiktoren oder Klassifikation werden nicht verwendet, daher 0 Punkte.",3,0
88,Welche gängigen Techniken gibt es zur Erkennung von Ausreißern im Rahmen der EDA?,"Gängige Techniken zur Erkennung von Ausreißern in der EDA umfassen grafische Methoden (z. B., Streudiagramme, Boxplots), statistische Methoden (z. B., z-Score, modifizierter z-Score) und proximitätsbasierte Methoden (z. B., nächste Nachbarn).",4,grafische Methoden; Streudiagramme; Boxplots; statistische Methoden; z-Score; modifizierter z-Score; proximitätsbasierte Methoden; nächste Nachbarn,"Boxplots, EDA, Verteilung, zentrale Tendenz",2,"Es werden einige zentrale Begriffe zur Ausreißererkennung genannt (Boxplots, EDA, Verteilung, zentrale Tendenz), jedoch fehlen weitere wichtige Methoden wie z-Score oder proximitätsbasierte Verfahren. Deshalb nur halbe Punkte.",1,0
89,Was ist der Zweck von Boxplots in der EDA?,"Boxplots in der EDA bieten eine visuelle Zusammenfassung der Verteilung, des zentralen Tendenz und der Streuung eines Datensatzes. Sie zeigen die Median, Quartile und mögliche Ausreißer der Datenverteilung.",4,Boxplots; EDA; Verteilung; zentrale Tendenz; Streuung; Median; Quartile; Ausreißer,"Boxplots werden in der EDA verwendet, um die Mittelwerte von zwei Variablen zu multiplizieren und Vorhersagen zu treffen.",0,"Die Antwort ist fachlich falsch: Boxplots dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage, sondern visualisieren Verteilung, zentrale Tendenz, Streuung und Ausreißer. Relevante Begriffe werden nicht korrekt verwendet, daher 0 Punkte.",3,2
90,Was ist der Zweck von Histogrammen in der EDA?,"Histogramme in der EDA zeigen die Häufigkeitsverteilung einer stetigen Variable, indem sie die Daten in Intervalle (Bins) unterteilen und die Anzahl der Beobachtungen in jedem Intervall darstellen. Sie liefern Einblicke in die Form und Streuung der Datenaufteilung.",6,Histogramme; EDA; Häufigkeitsverteilung; stetige Variable; Intervalle (Bins); Anzahl der Beobachtungen; Form; Streuung,"Histogramme werden in der EDA verwendet, um die Mittelwerte aller Variablen zu addieren und Vorhersagen zu treffen.",0,"Die Antwort ist fachlich falsch: Histogramme dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage. Relevante Begriffe wie Häufigkeitsverteilung, Bins, Form und Streuung werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.",3,2
91,Was ist der Zweck von Heatmaps in der EDA?,"Heatmaps in der EDA visualisieren die Magnitude einer Variablen oder die Stärke einer Beziehung zwischen Variablen mithilfe von Farben. Sie sind nützlich, um Muster und Korrelationen in großen Datensätzen zu identifizieren.",4,Heatmaps; EDA; Magnitude; Stärke einer Beziehung; Farben; Muster; Korrelationen; große Datensätze,"Heatmaps werden in der EDA verwendet, um die Mittelwerte aller Variablen zu addieren und zukünftige Werte vorherzusagen.",0,"Die Antwort ist fachlich falsch: Heatmaps dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage. Relevante Begriffe wie Magnitude, Beziehungen zwischen Variablen, Farben, Muster und Korrelationen werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.",3,2
92,Was ist der Unterschied zwischen Korrelation und Kausalität bei EDA?,"Korrelation misst die Stärke und Richtung der linearen Beziehung zwischen zwei Variablen, während Kausalität anzeigt, dass Veränderungen in einer Variable direkt Veränderungen in einer anderen verursachen. Korrelation impliziert nicht Kausalität.",4,Korrelation; Kausalität; lineare Beziehung; EDA,"Korrelation zeigt, welche Variable wichtiger ist, und Kausalität sagt, dass die Variablen dieselbe Einheit haben.",0,"Die Antwort ist fachlich falsch: Korrelation zeigt nicht, welche Variable ‚wichtiger‘ ist, und Kausalität wird nicht korrekt beschrieben. Relevante Begriffe wie Stärke, Richtung, lineare Beziehung, Ursache und Wirkung werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.",3,0
93,Was ist der Zweck statistischer Tests in der EDA?,"Statistische Tests in der EDA werden verwendet, um die Signifikanz beobachteter Unterschiede oder Beziehungen im Datensatz zu bewerten. Sie helfen dabei, Rückschlüsse auf Populationsparameter zu ziehen und Schlussfolgerungen aus Stichprobendaten zu ziehen.",4,Statistische Tests; EDA; Signifikanz; Populationsparameter; Schlussfolgerungen; Stichprobendaten,"Statistische Tests in der EDA werden verwendet, um die Daten zu sortieren und Mittelwerte von allen Variablen zu addieren.",0,"Die Antwort ist fachlich falsch: Statistische Tests dienen nicht dazu, Daten zu sortieren oder Mittelwerte zu addieren. Relevante Begriffe wie Signifikanz, Rückschluss auf Population und Stichprobendaten werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.",3,2
94,Was ist der Unterschied zwischen dem einseitigen ANOVA und dem zweiseitigen ANOVA in der EDA?,"Das einseitige ANOVA vergleicht die Mittelwerte von zwei oder mehr Gruppen basierend auf einem einzigen kategorialen Faktor, während das zweiseitige ANOVA die Effekte von zwei kategorialen Faktoren (Haupteffekte und Interaktion) auf die Ausgangsvariable betrachtet.",6,einseitiges ANOVA; zweiseitiges ANOVA; kategorialer Faktor; Haupteffekte; Interaktion,"Einseitiges ANOVA zeigt, welche Gruppe größer ist, und zweiseitiges ANOVA sagt, dass die Gruppen dieselbe Mittelwert-Einheit haben.",0,"Die Antwort ist fachlich falsch: Der Unterschied zwischen einseitigem und zweiseitigem ANOVA wird nicht korrekt beschrieben. Relevante Begriffe wie Mittelwertvergleich, kategoriale Faktoren, Haupteffekte und Interaktion werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.",3,0
